region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,min_payment_within_5_years_of_chargeoff
southeast,1,Dormant Judgment,1373.58,1,1,1,1867.63,1,1445.0,1,1,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,2774.81,1,712.0,1,1,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,2902.67,1,0,1,4367.54,1,1468.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,697.82,1,1,1,1152.82,1,161.0,1,1,1,0,1,0,1,1,0
west,0,Dormant Judgment,7976.73,1,0,1,11635.87,1,1366.0,1,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,1915.91,1,715.0,0,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,998.17,1,0,1,2116.96,1,718.0,0,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,1588.47,1,0,1,3335.0,1,1955.0,1,1,1,0,1,0,1,1,0
west,0,Dormant Judgment,2157.13,1,0,1,2855.82,1,990.0,0,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,1761.3,1,1,1,1961.19,1,1064.0,1,0,1,1,0,0,0,1,0
southwest,1,Dormant Judgment,3475.95,1,0,1,3510.9,1,834.0,1,1,1,1,1,0,1,1,0
northeast,1,Dormant Judgment,6181.85,1,0,0,6419.98,1,1673.0,1,1,0,0,0,0,1,0,0
west,1,Dormant Judgment,4000.25,1,0,1,8899.42,1,3862.0,0,1,1,0,0,0,1,1,0
southwest,1,Dormant Judgment,2036.21,1,0,1,3121.69,1,1541.0,1,0,0,0,0,0,1,1,0
midwest,0,Dormant Judgment,,0,1,1,1277.38,1,1700.0,1,0,1,0,0,0,0,0,0
midwest,1,Dormant Judgment,5209.73,1,1,1,5209.73,1,531.0,1,1,1,1,0,0,0,0,0
northeast,1,Dormant Judgment,3698.29,1,1,1,4332.21,1,969.0,1,1,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,2883.21,1,0,1,4207.42,1,1183.0,1,0,0,0,0,0,0,1,0
southwest,1,Dormant Judgment,1631.91,1,0,1,3462.16,1,1263.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,811.35,1,1,1,949.97,1,1310.0,1,1,1,0,1,0,0,1,0
southwest,1,Dormant Judgment,,0,0,1,6525.49,1,764.0,1,1,0,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,3407.84,1,1008.0,1,1,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1311.23,1,1100.0,1,1,1,0,0,0,0,1,0
midwest,1,Dormant Judgment,,0,0,1,2760.67,1,2272.0,1,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,14335.56,1,2517.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,1430.13,1,1,1,1430.13,1,1205.0,1,1,0,0,0,0,0,1,0
southwest,1,Dormant Judgment,,0,0,1,4765.29,1,657.0,1,1,0,0,0,0,1,1,0
southeast,1,Dormant Judgment,2140.24,1,0,1,1389.46,1,890.0,1,0,1,0,0,0,0,1,0
west,1,Dormant Judgment,3426.85,1,0,1,4138.03,1,396.0,1,1,1,0,1,0,0,1,0
southeast,1,Dormant Judgment,5847.34,1,1,1,6510.64,1,1288.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,,0,0,0,3394.75,1,427.0,1,1,0,0,0,0,1,1,0
west,1,Dormant Judgment,5113.09,1,1,1,13300.97,1,4029.0,1,1,1,0,0,0,1,1,0
west,1,Dormant Judgment,14242.38,1,0,1,18272.58,1,735.0,1,1,1,0,0,0,1,1,0
west,1,Dormant Judgment,3382.94,1,0,1,7000.45,1,1341.0,0,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,,0,0,1,3229.01,1,1310.0,1,0,0,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,2492.28,1,613.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1309.5,1,1190.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,2258.0,1,1302.0,1,1,1,0,1,0,1,0,0
northeast,1,Dormant Judgment,,0,0,1,1428.31,1,1026.0,1,1,1,0,1,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,2516.8,1,1701.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1968.32,1,1405.0,1,1,1,0,0,0,1,1,1
southeast,1,Dormant Judgment,,0,1,1,3706.73,1,2111.0,1,1,1,1,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,2020.69,1,1500.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,,0,1,1,7252.85,1,1582.0,1,1,0,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,11280.81,1,1422.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,,0,1,1,7961.81,1,1788.0,1,1,1,1,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1147.67,1,1213.0,1,1,1,0,1,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,822.34,1,1154.0,1,0,1,0,0,0,1,0,0
southeast,0,Dormant Judgment,,0,1,1,2281.9,1,1111.0,1,0,1,1,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,5457.08,1,2326.0,1,1,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,1384.99,1,0,1,1565.7,1,1910.0,1,1,1,1,0,0,0,1,0
southeast,1,Dormant Judgment,3446.87,1,1,1,1670.91,1,1476.0,1,1,1,0,1,0,0,1,0
west,1,Dormant Judgment,2946.9,1,0,1,7968.41,1,1104.0,1,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,10400.12,1,1,1,11581.81,1,440.0,1,1,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,1663.59,1,1,1,2482.69,1,729.0,1,1,1,0,1,0,0,1,0
northeast,1,Dormant Judgment,4089.72,1,1,1,5414.64,1,837.0,1,1,1,0,1,0,0,1,0
west,1,Dormant Judgment,,0,0,1,6713.65,1,538.0,1,0,1,0,0,0,0,1,0
midwest,1,Dormant Judgment,,0,0,1,1939.12,1,796.0,1,1,1,0,0,0,1,0,1
west,1,Dormant Judgment,,0,0,1,8408.95,1,1608.0,1,1,1,0,1,0,0,1,0
midwest,1,Dormant Judgment,,0,0,1,5022.57,1,729.0,1,0,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,8119.04,1,520.0,1,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,770.95,1,1,1,1136.47,1,1666.0,1,1,1,0,1,0,0,1,0
northeast,1,Dormant Judgment,1248.33,1,1,1,1690.53,1,1080.0,1,1,1,1,0,0,0,1,0
northeast,1,Dormant Judgment,3303.44,1,1,1,3931.9,1,996.0,1,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,3815.34,1,1,1,4074.51,1,710.0,1,1,1,1,0,0,0,1,0
northeast,1,Dormant Judgment,,0,0,1,5281.49,1,1161.0,1,1,1,0,1,0,1,1,0
southeast,1,Dormant Judgment,3500.72,1,1,1,2091.91,1,1219.0,1,1,1,0,1,0,0,1,0
west,1,Dormant Judgment,,0,0,1,5211.04,1,730.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,,0,0,0,3317.39,1,1267.0,1,0,1,0,0,0,1,0,1
midwest,1,Dormant Judgment,,0,1,1,3044.47,1,702.0,1,1,1,0,0,1,1,1,0
west,1,Dormant Judgment,2433.12,1,0,1,2720.62,1,974.0,1,1,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,1699.29,1,1,1,1934.29,1,835.0,0,1,1,0,1,0,1,1,1
southeast,1,Dormant Judgment,,0,0,1,1810.71,1,1941.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,,0,1,1,10597.77,1,1190.0,1,1,0,0,0,0,1,1,0
southwest,1,Dormant Judgment,1393.65,1,1,1,1528.65,1,848.0,1,1,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,1050.63,1,1,1,1156.76,1,797.0,1,0,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,1299.37,1,1,1,1424.37,1,767.0,1,1,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,1175.76,1,1,1,1277.76,1,539.0,1,0,1,0,0,0,0,1,1
west,1,Dormant Judgment,1182.72,1,1,1,1531.22,1,821.0,1,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,749.01,1,1,1,999.25,1,354.0,1,1,1,0,0,0,1,1,1
northeast,0,Dormant Judgment,1149.67,1,1,1,1262.67,1,386.0,1,0,0,0,0,0,1,1,1
west,1,Dormant Judgment,2994.25,1,1,1,3294.25,1,565.0,1,0,1,0,0,0,0,1,0
west,1,Dormant Judgment,6620.4,1,1,1,6910.4,1,593.0,1,1,1,1,0,0,1,1,0
west,1,Dormant Judgment,,0,1,1,1771.38,1,1394.0,1,0,1,0,0,0,1,1,0
southwest,1,Dormant Judgment,8617.25,1,0,1,10217.33,1,1895.0,1,1,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,6473.65,1,1,1,7818.15,1,2063.0,1,1,1,0,0,0,1,1,0
west,1,Dormant Judgment,1021.4,1,1,1,1251.28,1,1984.0,1,1,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1703.81,1,2280.0,1,0,1,0,0,0,1,1,0
southwest,1,Dormant Judgment,1529.45,1,1,1,1614.45,1,816.0,1,0,0,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,4076.2,1,423.0,0,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,1297.86,1,1,1,1458.86,1,1125.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,2332.87,1,1,1,2352.87,1,1800.0,1,0,1,0,0,0,1,1,0
west,1,Dormant Judgment,,0,1,1,2389.78,1,768.0,0,1,1,0,0,0,1,1,0
southwest,0,Dormant Judgment,898.33,1,1,1,1021.33,1,1050.0,1,0,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,1364.08,1,1,1,2014.3,1,1205.0,1,1,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,1823.58,1,1,1,2534.41,1,1027.0,1,0,1,0,0,0,0,0,0
southeast,1,Dormant Judgment,741.04,1,1,1,795.17,1,421.0,0,1,1,0,1,0,0,1,1
southeast,1,Dormant Judgment,4244.8,1,1,1,4567.38,1,543.0,1,0,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,6037.82,1,1,1,6211.82,1,1886.0,0,1,1,1,1,0,0,1,0
southeast,1,Dormant Judgment,4815.35,1,0,1,1447.26,1,754.0,0,1,1,0,1,0,0,1,0
southwest,1,Dormant Judgment,1872.73,1,1,1,1963.67,1,1101.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,847.33,1,1,1,1082.33,1,1062.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,643.07,1,1,1,789.07,1,864.0,1,0,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,1608.05,1,1,1,1765.89,1,735.0,1,1,1,1,0,1,1,1,0
southwest,1,Dormant Judgment,1195.85,1,1,1,1241.85,1,382.0,1,0,0,0,0,0,0,1,1
midwest,1,Dormant Judgment,789.97,1,1,1,992.97,1,713.0,1,0,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,1648.61,1,1,1,1814.02,1,406.0,1,0,1,0,0,0,0,1,0
midwest,1,Dormant Judgment,1318.99,1,1,1,1318.99,1,839.0,1,1,1,0,0,0,1,1,0
southwest,1,Dormant Judgment,4893.1,1,1,1,4618.1,1,2273.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,,0,1,1,3221.6,1,1450.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,4823.98,1,1,1,4949.98,1,2231.0,1,0,0,0,0,0,0,0,0
southeast,1,Dormant Judgment,,0,1,1,1896.93,1,1233.0,0,1,1,0,1,0,1,1,0
southwest,0,Dormant Judgment,1466.46,1,1,1,1735.46,1,1058.0,1,0,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,10911.99,1,1,1,9926.43,1,2062.0,1,1,1,1,1,0,1,1,0
southwest,0,Dormant Judgment,1734.25,1,1,1,1931.25,1,857.0,1,0,1,0,0,0,0,1,0
northeast,0,Dormant Judgment,882.29,1,1,1,1117.29,1,820.0,1,0,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,616.36,1,1,1,699.61,1,586.0,0,1,1,0,1,0,1,1,1
southwest,1,Dormant Judgment,1779.63,1,1,1,2113.63,1,541.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,720.51,1,0,1,933.51,1,459.0,0,1,1,0,0,0,1,1,1
midwest,1,Dormant Judgment,667.38,1,0,1,792.38,1,340.0,0,1,1,0,1,0,1,1,1
southwest,1,Dormant Judgment,17706.67,1,1,1,18051.98,1,1570.0,0,0,0,0,0,0,0,0,0
midwest,1,Dormant Judgment,,0,0,1,2868.1,1,917.0,1,0,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,1150.76,1,1,1,1675.76,1,767.0,0,1,1,0,1,0,1,1,0
