region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,days_between_chargeoff_and_min_pay_date,days_between_judgment_and_min_pay_date,avg_days_between_payments,avg_monthly_payment(duration>=365days),avg_pay_to_chargeoff_ratio,avg_pay_to_judgment_ratio,closed_w_max_pmt_within_5_yrs_of_min_pmt
southwest,0,Dormant Judgment,17547.0,1,1,1,9061.31,1,795.0,1,0,0,0,0,0,0,1,31.0,-764.0,0.0,,0.529548640793298,1.0254576876853347,0
southwest,1,Dormant Judgment,9249.42,1,1,1,9249.42,1,385.0,1,0,0,0,0,0,1,0,7.0,-378.0,0.0,,0.118926375924112,0.118926375924112,0
southwest,1,Dormant Judgment,10675.44,1,1,1,10675.44,1,659.0,1,0,0,0,0,0,0,1,14.0,-645.0,0.0,,0.08432439318660402,0.08432439318660402,0
southwest,1,Dormant Judgment,8251.38,1,1,1,8251.38,1,682.0,1,0,0,0,0,0,0,0,30.0,-652.0,0.0,,0.24084940943211924,0.24084940943211924,0
southwest,1,Dormant Judgment,18390.5,1,1,1,18390.5,1,569.0,1,0,0,0,0,0,1,1,24.0,-545.0,67.25,66.12890285,0.00795474112721242,0.00795474112721242,0
southwest,1,Dormant Judgment,14625.61,1,1,1,14625.61,1,596.0,1,0,0,0,0,0,1,1,6.0,-590.0,0.0,,0.11951638256455628,0.11951638256455628,0
southwest,1,Dormant Judgment,12494.0,1,1,1,9541.8,1,1302.0,1,0,0,0,0,0,0,0,31.0,-1271.0,0.0,,0.30414599007523613,0.3982477100756671,0
northeast,1,Dormant Judgment,14359.48,1,1,1,14899.48,1,698.0,1,0,1,0,0,0,0,1,14.0,-684.0,316.8889,13.82573787,0.010027831397794349,0.009664393952003693,0
midwest,0,Dormant Judgment,4205.74,1,0,1,4134.43,1,710.0,1,0,1,0,0,0,0,1,29.0,-681.0,0.0,,0.05143209042879494,0.05231918305546351,0
southwest,1,Dormant Judgment,,0,1,1,13999.57,1,833.0,1,1,0,0,0,0,1,1,850.0,17.0,84.9412,93.23095332,,0.018597840126518172,0
midwest,0,Dormant Judgment,13521.87,1,1,1,9642.87,1,1827.0,0,1,1,0,0,0,0,0,1.0,-1826.0,0.0,,0.4724612793940483,0.6625164499780667,0
midwest,1,Dormant Judgment,4039.47,1,0,1,4174.47,1,902.0,0,1,1,0,0,0,0,0,22.0,-880.0,712.3333,68.58475412,0.3975463778664033,0.384689952736515,0
southwest,1,Dormant Judgment,8256.41,1,1,1,8256.41,1,1697.0,1,1,0,0,0,0,0,0,7.0,-1690.0,0.0,,0.01429192590968714,0.01429192590968714,0
southwest,1,Dormant Judgment,10349.23,1,1,1,10349.23,1,401.0,0,1,0,0,0,0,0,0,21.0,-380.0,89.7143,39.42457495,0.01123289227314496,0.01123289227314496,0
southwest,1,Dormant Judgment,15592.43,1,1,1,14682.43,1,68.0,1,0,0,0,0,0,0,0,2.0,-66.0,0.0,,0.07173416843942862,0.07618016908645231,1
southeast,1,Suit,14492.27,1,0,0,,0,,0,1,1,0,1,0,0,0,29.0,,0.0,,0.22063900272352088,,0
midwest,1,Dormant Judgment,26454.94,1,1,1,26701.55,1,541.0,0,1,1,1,0,0,0,0,28.0,-513.0,1004.0,71.67739271,0.08941770421705739,0.08859186077212747,0
midwest,1,Dormant Judgment,5843.83,1,1,1,5346.11,1,948.0,0,1,1,1,0,0,0,0,31.0,-917.0,1038.3333,16.87065474,0.09851644098134273,0.10768826928364737,0
hi_ak,1,Suit,11423.42,1,0,0,,0,,0,1,1,0,0,0,0,0,23.0,,0.0,,0.7816065591565399,,0
midwest,1,Dormant Judgment,8278.65,1,0,1,8416.65,1,894.0,0,1,1,1,0,0,0,0,19.0,-875.0,121.8837,48.87019764,0.023643474056760462,0.023255813952106835,0
midwest,1,Dormant Judgment,,0,1,1,7641.69,1,1976.0,0,1,1,0,0,0,1,1,3822.0,1846.0,37.4085,70.4753442,,0.011339114776966877,0
northeast,1,Dormant Judgment,,0,0,1,2480.29,1,592.0,0,1,1,0,1,0,1,0,1594.0,1002.0,669.0,25.03848046,,0.2219522717101629,0
southeast,1,Dormant Judgment,1767.12,1,1,1,1880.44,1,1160.0,1,0,1,0,0,0,0,1,643.0,-517.0,0.0,,0.05108311829417357,0.04800472229903639,0
west,1,Dormant Judgment,21330.77,1,1,1,19952.09,1,1694.0,1,0,1,0,0,0,1,1,68.0,-1626.0,25.9286,,0.006054901642087932,0.0064732924871529745,0
southwest,1,Dormant Judgment,4611.68,1,1,1,4850.82,1,1695.0,1,1,1,0,1,0,1,1,453.0,-1242.0,114.0,,0.010842035874128299,0.010307535633150684,0
west,1,Dormant Judgment,2364.4,1,1,1,2642.7,1,662.0,1,0,1,0,0,0,0,0,222.0,-440.0,0.0,,0.010573507020808661,0.009460021947250919,0
midwest,1,Dormant Judgment,1261.5,1,1,1,1229.79,1,1232.0,1,0,1,0,0,0,0,1,1323.0,91.0,0.0,,0.0073483947681331745,0.0075378723196643325,0
west,1,Dormant Judgment,6504.84,1,1,1,5330.7,1,942.0,1,1,1,1,0,0,0,1,1064.0,122.0,68.9048,61.01063018,0.021247914737334048,0.025927980509126383,0
