data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
147654,northeast,NY,Placement (3); Active,Dormant Judgment,01/01/1983,22,1,1,1,1,1,0,0,1,1,3827.61,2005-02,01/02/2005,,0,Active,1,1,19/11/2007,1021,1654.35,1,1,1,,,,,,,,,,,,,,,,0,,
147716,southeast,FL,Closed (9); SIF,Dormant Judgment,01/01/1963,41,1,1,1,1,1,0,0,1,1,8.38,2004-03,01/03/2004,,0,Active,1,1,31/10/2006,974,1658.52,1,1,1,1,1,0,1,3993.54,3993.54,07/12/2021,07/12/2021,1,0,,6490,6490,5516,5516,0,1,
147859,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1964,42,1,1,1,1,1,0,0,1,1,2672.51,2005-11,01/11/2005,,0,Active,1,1,08/04/2008,889,1532.68,1,1,1,,,,,,,,,,,,,,,,0,,
147869,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1975,31,1,1,1,1,0,0,0,1,1,3966.11,2005-11,01/11/2005,,0,Active,1,1,07/09/2007,675,2197.27,1,1,1,,,,,,,,,,,,,,,,0,,
147963,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1969,37,1,1,1,1,0,1,0,1,0,5318.94,2006-01,01/01/2006,,0,Active,1,1,16/08/2007,592,4362.59,1,1,1,,,,,,,,,,,,,,,,0,,
147983,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1982,24,1,1,1,1,0,0,0,1,0,3641.64,2006-01,01/01/2006,,0,Active,1,1,17/10/2007,654,1965.89,1,1,1,3,3,0,3,308.22,102.74,27/09/2010,19/11/2010,54,17.6667,,1730,1783,1076,1129,1,0,
148219,midwest,OH,Closed (9); SIF,Dormant Judgment,01/01/1964,40,1,1,1,1,0,0,1,1,0,3419.5,2004-06,01/06/2004,,0,Satisfied,0,1,10/03/2008,1378,4244.49,1,1,1,11,11,0,11,3000,272.7272727,27/07/2021,26/05/2022,304,27.5455,,6265,6568,4887,5190,0,1,
148460,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1935,72,0,1,1,1,0,0,0,0,0,21633.81,2006-09,01/09/2006,,0,Active,1,1,17/02/2009,900,9888.37,1,1,1,1,1,0,1,100,100,29/10/2009,29/10/2009,1,0,,1154,1154,254,254,1,0,
148864,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1945,60,1,1,0,1,0,0,0,0,0,1834.94,2005-01,01/01/2005,1498.07,1,Active,1,1,03/02/2009,1494,1610.58,1,1,1,,,,,,,,,,,,,,,,0,,
148913,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1966,40,1,1,0,1,0,0,0,0,0,3968.2,2006-06,01/06/2006,3219.61,1,Active,1,1,28/11/2008,911,3453.97,1,1,1,,,,,,,,,,,,,,,,0,,
